"No."  ,"Time"           ,"Source"        ,"Destination"   ,"Protocol","Length","Info"
"14229","02:24:23.504436","10.140.212.198","10.224.168.94" ,"TCP"     ,"235"   ,"52522  >  3478 [PSH, ACK] Seq=530326 Ack=9497 Win=65535 Len=181 [TCP segment of a reassembled PDU]"
"14230","02:24:23.505748","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52522 [ACK] Seq=9497 Ack=530507 Win=65134 Len=0"
"14231","02:24:23.505754","10.224.168.94" ,"10.140.212.198","TCP"     ,"235"   ,"3478  >  52519 [PSH, ACK] Seq=531486 Ack=6021 Win=29200 Len=181 [TCP segment of a reassembled PDU]"
"14232","02:24:23.505863","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=6021 Ack=531667 Win=65535 Len=0"
"14240","02:24:23.544800","10.140.212.198","10.224.168.94" ,"TCP"     ,"218"   ,"52522  >  3478 [PSH, ACK] Seq=530507 Ack=9497 Win=65535 Len=164 [TCP segment of a reassembled PDU]"
"14241","02:24:23.545957","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52522 [ACK] Seq=9497 Ack=530671 Win=65134 Len=0"
"14242","02:24:23.545961","10.224.168.94" ,"10.140.212.198","TCP"     ,"140"   ,"3478  >  52522 [PSH, ACK] Seq=9497 Ack=530671 Win=65134 Len=86 [TCP segment of a reassembled PDU]"
"14243","02:24:23.546045","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52522  >  3478 [ACK] Seq=530671 Ack=9583 Win=65535 Len=0"
"14244","02:24:23.546291","10.224.168.94" ,"10.140.212.198","TCP"     ,"218"   ,"3478  >  52519 [PSH, ACK] Seq=531667 Ack=6021 Win=29200 Len=164 [TCP segment of a reassembled PDU]"
"14245","02:24:23.546333","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=6021 Ack=531831 Win=65535 Len=0"
"14246","02:24:23.561722","10.140.212.198","10.224.168.94" ,"TCP"     ,"176"   ,"52519  >  3478 [PSH, ACK] Seq=6021 Ack=531831 Win=65535 Len=122 [TCP segment of a reassembled PDU]"
"14247","02:24:23.562895","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52519 [ACK] Seq=531831 Ack=6143 Win=29200 Len=0"
